,Name,Episodes,Release,Members,Score
200,Gyakkyou Burai Kaiji: Hakairoku-hen,26,Apr 2011 - Sep 2011,191681,8.25
201,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,13,Oct 2018 - Dec 2018,1707476,8.24
202,Boku no Kokoro no Yabai Yatsu,12,Apr 2023 - Jun 2023,246059,8.24
203,Golden Kamuy 2nd Season,12,Oct 2018 - Dec 2018,200920,8.24
204,Danshi Koukousei no Nichijou,12,Jan 2012 - Mar 2012,814622,8.23
205,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Fuka Shou - Yakusai-hen,11,Jan 2023 - Mar 2023,199015,8.23
206,IDOLiSH7 Third Beat!,13,Jul 2021 - Sep 2021,21933,8.23
207,Tanoshii Muumin Ikka,78,Apr 1990 - Oct 1991,27053,8.23
208,Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,25,Oct 2016 - Apr 2017,142058,8.23
209,Nodame Cantabile Finale,11,Jan 2010 - Mar 2010,127277,8.23
210,Re:Zero kara Hajimeru Isekai Seikatsu,25,Apr 2016 - Sep 2016,2163096,8.23
211,Kamisama Hajimemashita◎,12,Jan 2015 - Mar 2015,403422,8.22
212,Major S3,26,Jan 2007 - Jun 2007,68715,8.22
213,Ookami to Koushinryou,13,Jan 2008 - Mar 2008,806715,8.22
214,Sasaki to Miyano,12,Jan 2022 - Mar 2022,187668,8.22
215,Great Pretender,23,Jul 2020 - Dec 2020,649088,8.22
216,Trigun,26,Apr 1998 - Sep 1998,752733,8.22
217,Shoujo Kakumei Utena,39,Apr 1997 - Dec 1997,216778,8.21
218,Shoujo Shuumatsu Ryokou,12,Oct 2017 - Dec 2017,337484,8.21
219,SKET Dance,77,Apr 2011 - Sep 2012,223578,8.21
220,Sono Bisque Doll wa Koi wo Suru,12,Jan 2022 - Mar 2022,1023359,8.21
221,Tengoku Daimakyou,13,Apr 2023 - Jun 2023,430747,8.21
222,xxxHOLiC◆Kei,13,Apr 2008 - Jun 2008,142461,8.21
223,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,13,Apr 2015 - Jun 2015,1049319,8.21
224,Kuroko no Basket 2nd Season,25,Oct 2013 - Mar 2014,845669,8.21
225,Magi: The Kingdom of Magic,25,Oct 2013 - Mar 2014,834086,8.21
226,Major S1,26,Nov 2004 - May 2005,100551,8.21
227,Bungou Stray Dogs 3rd Season,12,Apr 2019 - Jun 2019,620717,8.21
228,Fruits Basket 1st Season,25,Apr 2019 - Sep 2019,815120,8.21
229,Horimiya: Piece,13,Jul 2023 - Sep 2023,289856,8.21
230,Horimiya,13,Jan 2021 - Apr 2021,1342684,8.2
231,InuYasha: Kanketsu-hen,26,Oct 2009 - Mar 2010,280558,8.2
232,Vanitas no Karte Part 2,12,Jan 2022 - Apr 2022,270246,8.2
233,Maison Ikkoku,96,Mar 1986 - Mar 1988,71904,8.19
234,Major S2,26,Dec 2005 - Jun 2006,71312,8.19
235,Major S4,26,Jan 2008 - Jun 2008,64942,8.19
236,Nomad: Megalo Box 2,13,Apr 2021 - Jun 2021,197873,8.19
237,Senki Zesshou Symphogear XV,13,Jul 2019 - Sep 2019,38685,8.19
238,Ao Ashi,24,Apr 2022 - Sep 2022,201454,8.19
239,Asobi Asobase,12,Jul 2018 - Sep 2018,471480,8.19
240,Bungou Stray Dogs 2nd Season,12,Oct 2016 - Dec 2016,843178,8.19
241,Hachimitsu to Clover II,12,Jun 2006 - Sep 2006,106228,8.19
242,Little Busters! Refrain,13,Oct 2013 - Dec 2013,165370,8.18
243,Lycoris Recoil,13,Jul 2022 - Sep 2022,472677,8.18
244,Non Non Biyori Repeat,12,Jul 2015 - Sep 2015,198592,8.18
245,Bakuman.,25,Oct 2010 - Apr 2011,615994,8.18
