,Name,Episodes,Release,Members,Score
2616,Dokonjou Gaeru,103,Oct 1972 - Sep 1974,1849,6.73
2617,Gu-Gu Ganmo,50,Mar 1984 - Mar 1985,1202,6.73
2618,Gunparade March: Arata Naru Kougunka,12,Feb 2003 - Apr 2003,16647,6.73
2619,Higurashi no Naku Koro ni Sotsu,15,Jul 2021 - Sep 2021,109872,6.73
2620,Honoo no Alpenrose: Judy & Randy,20,Apr 1985 - Oct 1985,3639,6.73
2621,Ichiban Ushiro no Daimaou,12,Apr 2010 - Jun 2010,522724,6.73
2622,Teekyuu 3,12,Oct 2013 - Dec 2013,26889,6.73
2623,Temple,12,Jul 2023 - Sep 2023,83589,6.73
2624,Ushinawareta Mirai wo Motomete,12,Oct 2014 - Dec 2014,92305,6.73
2625,Uta∽Kata,12,Oct 2004 - Dec 2004,25685,6.73
2626,Wellber no Monogatari: Sisters of Wellber Zwei,13,Jan 2008 - Mar 2008,5373,6.73
2627,Kaijin Kaihatsu-bu no Kuroitsu-san,12,Jan 2022 - Apr 2022,55553,6.73
2628,Katsugeki/Touken Ranbu,13,Jul 2017 - Sep 2017,123167,6.73
2629,Kurogane Communication,24,Oct 1998 - Mar 1999,6367,6.73
2630,Maburaho,24,Oct 2003 - Apr 2004,97010,6.73
2631,Majime ni Fumajime Kaiketsu Zorori,97,Feb 2005 - Jan 2007,1372,6.73
2632,Monkey Punch: Manga Katsudou Daishashin,12,Aug 2004 - Jun 2005,2414,6.73
2633,Nanako SOS,39,Apr 1983 - Dec 1983,2360,6.73
2634,Nekopara,12,Jan 2020 - Mar 2020,171156,6.73
2635,Night Head Genesis,24,Jun 2006 - Dec 2006,31231,6.73
2636,number24,12,Jan 2020 - Apr 2020,60877,6.73
2637,Ribbon no Kishi,52,Apr 1967 - Apr 1968,5422,6.73
2638,RPG Fudousan,12,Apr 2022 - Jun 2022,45535,6.73
2639,Seikaisuru Kado,12,Apr 2017 - Jun 2017,107096,6.73
2640,Seton Doubutsuki: Kuma no Ko Jacky,26,Jun 1977 - Dec 1977,2409,6.73
2641,Shinkansen Henkei Robo Shinkalion The Animation,76,Jan 2018 - Jun 2019,4145,6.73
2642,Midara na Ao-chan wa Benkyou ga Dekinai,12,Apr 2019 - Jun 2019,273494,6.72
2643,Nagato Yuki-chan no Shoushitsu,16,Apr 2015 - Jul 2015,136467,6.72
2644,Shadowverse Flame,50,Apr 2022 - Mar 2023,6009,6.72
2645,Shin Minashigo Hutch,26,Apr 1974 - Sep 1974,1142,6.72
2646,Shin Tennis no Oujisama: U-17 World Cup,13,Jul 2022 - Sep 2022,14603,6.72
2647,Bakuten Shoot Beyblade 2002,51,Jan 2002 - Dec 2002,67627,6.72
2648,Cardfight!! Vanguard (2018),52,May 2018 - May 2019,13068,6.72
2649,Cardfight!! Vanguard: will+Dress Season 2,12,Jan 2023 - Apr 2023,4347,6.72
2650,Code:Breaker,13,Oct 2012 - Dec 2012,329683,6.72
2651,F,31,Mar 1988 - Dec 1988,3726,6.72
2652,Fortune Dogs,39,Jul 2002 - Mar 2003,1335,6.72
2653,Gakuen Handsome,12,Oct 2016 - Dec 2016,42199,6.72
2654,Hagure Yuusha no Aesthetica,12,Jul 2012 - Sep 2012,422426,6.72
2655,Hikari no Densetsu,19,May 1986 - Sep 1986,5663,6.72
2656,Ikkitousen: Great Guardians,12,Jun 2008 - Aug 2008,67729,6.72
2657,Ikkitousen: Xtreme Xecutor,12,Mar 2010 - Jun 2010,50502,6.72
2658,TaoTao Ehonkan Sekai Doubutsu Banashi,52,Oct 1983 - Apr 1985,1278,6.72
2659,Video Senshi Lezarion,45,Mar 1984 - Feb 1985,1374,6.72
2660,Yuusha Exkaiser,48,Feb 1990 - Jan 1991,2972,6.72
2661,Soushin Shoujo Matoi,12,Oct 2016 - Dec 2016,27334,6.71
2662,Super Seisyun Brothers,14,Sep 2013 - Dec 2013,32577,6.71
2663,Sword Art Online II,24,Jul 2014 - Dec 2014,1954377,6.71
2664,Tayutama: Kiss on My Deity,12,Apr 2009 - Jun 2009,70229,6.71
2665,Visual Prison,12,Oct 2021 - Dec 2021,40151,6.71
2666,Kibou no Chikara: Otona Precure '23,12,Oct 2023 - Dec 2023,6913,6.71
2667,Koihime†Musou,12,Jul 2008 - Sep 2008,48181,6.71
2668,Kono Minikuku mo Utsukushii Sekai,12,Apr 2004 - Jun 2004,60704,6.71
2669,Long Riders!,12,Oct 2016 - Feb 2017,27922,6.71
2670,Makai Senki Disgaea,12,Apr 2006 - Jun 2006,44009,6.71
2671,Muhyo to Rouji no Mahouritsu Soudan Jimusho,12,Aug 2018 - Oct 2018,52387,6.71
2672,Nezha Chuanqi,52,Jun 2003 - Jul 2004,609,6.71
2673,Okashi na Tensei,12,Jul 2023 - Sep 2023,72936,6.71
2674,Oz no Mahoutsukai (TV),52,Oct 1986 - Sep 1987,2683,6.71
2675,Renai Flops,12,Oct 2022 - Dec 2022,132593,6.71
2676,Arifureta Shokugyou de Sekai Saikyou,13,Jul 2019 - Oct 2019,685674,6.71
2677,Choujuu Kishin Dancougar,38,Apr 1985 - Dec 1985,5540,6.71
2678,Cop Craft,12,Jul 2019 - Oct 2019,117684,6.71
2679,D.C.: Da Capo,26,Jul 2003 - Dec 2003,75718,6.71
2680,Freezing Vibration,12,Oct 2013 - Dec 2013,165511,6.71
2681,Future Card Buddyfight,64,Jan 2014 - Apr 2015,10931,6.71
2682,Gegege no Kitarou (1968),65,Jan 1968 - Mar 1969,4691,6.71
2683,Houkago Saikoro Club,12,Oct 2019 - Dec 2019,49562,6.71
2684,Hyakka Ryouran: Samurai Bride,12,Apr 2013 - Jun 2013,99552,6.71
2685,Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω,10,Apr 2021 - Jun 2021,402931,6.71
2686,Ishura,12,Jan 2024 -,54240,6.7
2687,Juubee-chan: Lovely Gantai no Himitsu,13,Apr 1999 - Jun 1999,19094,6.71
2688,Asu no Yoichi!,12,Jan 2009 - Mar 2009,206109,6.7
2689,B-Project: Zecchou*Emotion,12,Jan 2019 - Mar 2019,14782,6.7
2690,Hanyou no Yashahime: Sengoku Otogizoushi,24,Oct 2020 - Mar 2021,121326,6.7
2691,Hiiro no Kakera,13,Apr 2012 - Jun 2012,112037,6.7
2692,Human Bug Daigaku,12,Oct 2022 - Dec 2022,9333,6.7
2693,Inazuma Eleven: Ares no Tenbin,26,Apr 2018 - Sep 2018,40786,6.7
2694,Teppen!!!!!!!!!!!!!!!,12,Jul 2022 - Sep 2022,18898,6.7
2695,Tesagure! Bukatsumono,12,Oct 2013 - Dec 2013,12583,6.7
2696,Tottoko Hamtarou Hai!,77,Apr 2006 - Mar 2008,5374,6.7
2697,Tsukumogami Kashimasu,12,Jul 2018 - Oct 2018,18667,6.7
2698,Watashi no Yuri wa Oshigoto desu!,12,Apr 2023 - Jun 2023,50650,6.7
2699,Yu☆Gi☆Oh! Arc-V,148,Apr 2014 - Mar 2017,64198,6.7
2700,Kodomo no Jikan (TV),12,Oct 2007 - Dec 2007,111199,6.7
2701,Koukaku Kidoutai Nyuumon Arise,26,Jan 2014 - Jul 2014,7730,6.7
2702,Mahoutsukai ni Taisetsu na Koto,12,Jan 2003 - Mar 2003,27168,6.7
2703,Sabu to Ichi Torimono Hikae,52,Oct 1968 - Sep 1969,2525,6.7
2704,Sasami: Mahou Shoujo Club 2,13,Oct 2006 - Jan 2007,4588,6.7
2705,Seigi wo Aisuru Mono Gekkou Kamen,39,Jan 1972 - Oct 1972,1131,6.7
2706,Shin Kyojin no Hoshi,52,Oct 1977 - Sep 1978,885,6.7
2707,Shinmai Maou no Testament,12,Jan 2015 - Mar 2015,670812,6.7
2708,Kidou Senshi Gundam ZZ,47,Mar 1986 - Jan 1987,42811,6.69
2709,Moero! Top Striker,49,Oct 1991 - Sep 1992,4486,6.69
2710,Netoge no Yome wa Onnanoko ja Nai to Omotta?,12,Apr 2016 - Jun 2016,536441,6.69
2711,Ougon Bat,52,Apr 1967 - Mar 1968,2568,6.69
2712,Pretty Rhythm: Dear My Future,51,Apr 2012 - Mar 2013,9288,6.69
2713,Saikyou Bushouden: Sangoku Engi,52,Apr 2010 - Mar 2011,2679,6.69
2714,Shin Don Chuck Monogatari,73,Apr 1976 - Mar 1978,812,6.69
2715,Shinzou Ningen Casshern,35,Oct 1973 - Jun 1974,6488,6.69
2716,Arad Senki: Slap Up Party,26,Apr 2009 - Sep 2009,16815,6.69
2717,Azuki-chan,117,Apr 1995 - Mar 1998,3104,6.69
2718,Blue Drop: Tenshi-tachi no Gikyoku,13,Oct 2007 - Dec 2007,30716,6.69
2719,Bonobono (TV),48,Apr 1995 - Mar 1996,1683,6.69
2720,Cardfight!! Vanguard G: Stride Gate-hen,24,Apr 2016 - Sep 2016,9870,6.69
2721,Cardfight!! Vanguard: overDress Season 2,13,Oct 2021 - Dec 2021,7325,6.69
2722,Cutie Honey F,39,Feb 1997 - Jan 1998,10161,6.69
2723,Dokidoki! Precure,49,Feb 2013 - Jan 2014,26592,6.69
2724,Dragon Drive,38,Jul 2002 - Mar 2003,23337,6.69
2725,Gene Diver,56,Apr 1994 - Jan 1995,867,6.69
2726,Ginga Patrol PJ,26,Oct 1982 - 1983,1196,6.69
2727,Ginga Tetsudou Monogatari: Eien e no Bunkiten,24,Oct 2006 - Mar 2007,4219,6.69
2728,Grenadier: Hohoemi no Senshi,12,Oct 2004 - Jan 2005,55591,6.69
2729,Hand Maid May,10,Jul 2000 - Sep 2000,30002,6.69
2730,Hoshizora e Kakaru Hashi,12,Apr 2011 - Jun 2011,175662,6.69
2731,Spider Riders: Yomigaeru Taiyou,26,Apr 2007 - Oct 2007,4902,6.69
2732,Teekyuu 2,12,Jul 2013 - Sep 2013,31516,6.69
2733,Tonagura!,13,Jul 2006 - Oct 2006,49201,6.69
2734,Tsukipro The Animation,13,Oct 2017 - Dec 2017,17698,6.69
2735,Weiß Kreuz,25,Apr 1998 - Oct 1998,18901,6.69
2736,Tokyo Mew Mew New ♡ 2nd Season,12,Apr 2023 - Jun 2023,13627,6.68
2737,Viper's Creed,12,Jan 2009 - Mar 2009,10442,6.68
2738,Kerokero Chime,30,Mar 1997 - Sep 1997,1565,6.68
2739,Kidou Senshi Gundam: Tekketsu no Orphans - Tokubetsu-hen,9,Apr 2022 - May 2022,2049,6.68
2740,Mach GoGoGo,52,Apr 1967 - Mar 1968,15524,6.68
2741,Mini Van,37,Apr 2013 - Dec 2013,2151,6.68
2742,Nishi no Yoki Majo: Astraea Testament,13,Apr 2006 - Jul 2006,19314,6.68
2743,"Ore ga Ojousama Gakkou ni ""Shomin Sample"" Toshite Gets♥Sareta Ken",12,Oct 2015 - Dec 2015,277159,6.68
2744,Oshiete Mahou no Pendulum: Rilu Rilu Fairilu,26,Jul 2018 - Jan 2019,1217,6.68
2745,Princess Lover!,12,Jul 2009 - Sep 2009,226443,6.68
2746,Re:Stage! Dream Days♪,12,Jul 2019 - Sep 2019,10993,6.68
2747,Renmei Kuugun Koukuu Mahou Ongakutai Luminous Witches,12,Jul 2022 - Sep 2022,23394,6.68
2748,Sanrio Danshi,12,Jan 2018 - Mar 2018,60595,6.68
2749,Seireitsukai no Blade Dance,12,Jul 2014 - Sep 2014,362584,6.68
2750,Shirayuki Hime no Densetsu,52,Apr 1994 - Mar 1995,3672,6.68
2751,Beyblade X,,Oct 2023 -,2382,6.68
2752,Bouken Ou Beet Excellion,25,Oct 2005 - Mar 2006,7911,6.68
2753,Future Card Buddyfight Hundred,50,Apr 2015 - Mar 2016,5991,6.68
2754,Haunted Junction,12,Apr 1997 - Jun 1997,4652,6.68
2755,Battle Spirits: Burning Soul,51,Apr 2015 - Mar 2016,4048,6.67
2756,Cheer Danshi!!,12,Jul 2016 - Sep 2016,63999,6.67
2757,Chiisana Kyojin Microman,52,Jan 1999 - Dec 1999,1303,6.67
2758,Dansai Bunri no Crime Edge,13,Apr 2013 - Jun 2013,111538,6.67
2759,Digimon Xros Wars,30,Jul 2010 - Mar 2011,49527,6.67
2760,Fortune Arterial: Akai Yakusoku,12,Oct 2010 - Dec 2010,116483,6.67
2761,Gakkou no Kowai Uwasa: Hanako-san ga Kita!!,35,Aug 1994 - Dec 1995,2143,6.67
2762,Granbelm,13,Jul 2019 - Sep 2019,52894,6.67
2763,Hyakushou Kizoku,12,Jul 2023 - Sep 2023,3711,6.67
2764,Souten no Ken,22,Oct 2006 - Mar 2007,12251,6.67
2765,Teekyuu 4,12,Apr 2015 - Jun 2015,22311,6.67
2766,Tensei Kizoku no Isekai Boukenroku: Jichou wo Shiranai Kamigami no Shito,12,Apr 2023 - Jun 2023,148841,6.67
2767,Wild Arms: Twilight Venom,22,Oct 1999 - Mar 2000,8259,6.67
2768,Youkai Watch: Shadow Side,49,Apr 2018 - Mar 2019,2683,6.67
2769,Yu☆Gi☆Oh! VRAINS,120,May 2017 - Sep 2019,46342,6.67
2770,"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen",12,Oct 2020 - Dec 2020,279549,6.67
2771,Lostorage Incited WIXOSS,12,Oct 2016 - Dec 2016,57489,6.67
2772,Maji de Watashi ni Koi Shinasai!,12,Oct 2011 - Dec 2011,301696,6.67
2773,Manaria Friends,10,Jan 2019 - Mar 2019,122742,6.67
2774,Mikagura Gakuen Kumikyoku (TV),12,Apr 2015 - Jun 2015,89102,6.67
2775,Ooyukiumi no Kaina,11,Jan 2023 - Mar 2023,46628,6.67
2776,Panyo Panyo Di Gi Charat,48,Jan 2002 - Apr 2003,5854,6.67
2777,Papuwa,26,Sep 2003 - Mar 2004,1836,6.67
2778,Pokemon Best Wishes! Season 2: Episode N,14,Jan 2013 - Apr 2013,47799,6.67
2779,Revenger,12,Jan 2023 - Mar 2023,74764,6.67
2780,Shenmue the Animation,13,Feb 2022 - May 2022,21681,6.67
2781,Kekkon Yubiwa Monogatari,12,Jan 2024 -,58139,6.66
2782,Lapis Re:LiGHTs,12,Jul 2020 - Sep 2020,45211,6.66
2783,Mahouka Koukou no Yuutousei,13,Jul 2021 - Sep 2021,130513,6.66
2784,Marginal#4: Kiss kara Tsukuru Big Bang,12,Jan 2017 - Mar 2017,16563,6.66
2785,Medarot Damashii,39,Jul 2000 - Mar 2001,20382,6.66
2786,Nagagutsu wo Haita Neko no Bouken,26,Apr 1992 - Sep 1992,975,6.66
2787,Nana Maru San Batsu,12,Jul 2017 - Sep 2017,75767,6.66
2788,Night Wizard,13,Oct 2007 - Dec 2007,36495,6.66
2789,Nil Admirari no Tenbin,12,Apr 2018 - Jun 2018,40301,6.66
2790,Nobunagun,13,Jan 2014 - Mar 2014,65235,6.66
2791,Pucca (TV),26,Sep 2006 - May 2007,17510,6.66
2792,Sasami-san@Ganbaranai,12,Jan 2013 - Mar 2013,81927,6.66
2793,Seiken no Blacksmith,12,Oct 2009 - Dec 2009,184554,6.66
2794,Anime Kapibara-san,24,Oct 2020 - Mar 2021,4156,6.66
2795,Cardfight!! Vanguard G: GIRS Crisis-hen,26,Oct 2015 - Apr 2016,10970,6.66
2796,Chirorin Mura Monogatari,170,Apr 1992 - Mar 1993,938,6.66
2797,Code:Realize - Sousei no Himegimi,12,Oct 2017 - Dec 2017,83125,6.66
2798,Cooking Papa,151,Apr 1992 - May 1995,2179,6.66
2799,Domestic na Kanojo,12,Jan 2019 - Mar 2019,740465,6.66
2800,Eat-Man '98,12,Oct 1998 - Dec 1998,6162,6.66
2801,Esper Mami,119,Apr 1987 - Oct 1989,2373,6.66
2802,Goshuushou-sama Ninomiya-kun,12,Oct 2007 - Dec 2007,97804,6.66
2803,Hataraku Maou-sama!!,12,Jul 2022 - Sep 2022,464509,6.66
2804,Hataraku Maou-sama!! 2nd Season,12,Jul 2023 - Sep 2023,122115,6.66
2805,Juubee Ninpuuchou: Ryuuhougyoku-hen,13,Apr 2003 - Jul 2003,42963,6.66
2806,Suteki Tantei Labyrinth,25,Oct 2007 - Mar 2008,10121,6.66
2807,Time Bokan Series: Yatterman,108,Jan 1977 - Jan 1979,5243,6.66
2808,Transformers Galaxy Force,52,Jan 2005 - Dec 2005,6458,6.66
2809,Wanwan Celepoo Soreyuke! Tetsunoshin,51,Jan 2006 - Dec 2006,1162,6.66
2810,Shugo Chara! Party!,25,Oct 2009 - Mar 2010,73302,6.65
2811,Super Doll Licca-chan,52,Oct 1998 - Sep 1999,4288,6.65
2812,Tatakae! Chou Robot Seimeitai Transformers Victory,38,Mar 1989 - Dec 1989,3182,6.65
2813,Teekyuu 5,12,Jul 2015 - Sep 2015,19628,6.65
2814,Terra Formars: Revenge,13,Apr 2016 - Jun 2016,91950,6.65
2815,Mayoi Neko Overrun!,13,Apr 2010 - Jun 2010,138865,6.65
2816,Mezzo DSA,13,Jan 2004 - Mar 2004,22488,6.65
2817,Norimono Oukoku BuBu ChaCha,26,Apr 1999 - Nov 1999,963,6.65
2818,Nyanpire The Animation,12,Jul 2011 - Sep 2011,28209,6.65
2819,Oretachi ni Tsubasa wa Nai: Under the Innocent Sky.,12,Apr 2011 - Jun 2011,87903,6.65
2820,Pretty All Friends Selection,16,Jun 2021 - Sep 2021,2007,6.65
2821,Rewrite,13,Jul 2016 - Sep 2016,207707,6.65
2822,Shin Chuuka Ichiban! 2nd Season,12,Jan 2021 - Mar 2021,5620,6.65
2823,Aiura,12,Apr 2013 - Jun 2013,87199,6.65
2824,Bakuretsu Hunters,26,Oct 1995 - Mar 1996,22045,6.65
2825,Build Divide: Code White,12,Apr 2022 - Jun 2022,19903,6.65
2826,Cardfight!! Vanguard G Next,52,Oct 2016 - Oct 2017,10760,6.65
2827,Concrete Revolutio: Choujin Gensou,13,Oct 2015 - Dec 2015,88968,6.65
2828,Eureka Seven AO,24,Apr 2012 - Nov 2012,95772,6.65
2829,Godzilla: S.P,13,Apr 2021 - Jun 2021,66786,6.65
2830,Harukana Receive,12,Jul 2018 - Sep 2018,110184,6.65
2831,Inazuma Eleven Go: Galaxy,43,May 2013 - Mar 2014,48684,6.65
2832,Amaenaide yo!! Katsu!!,12,Jan 2006 - Mar 2006,51226,6.64
2833,Ao no Kanata no Four Rhythm,12,Jan 2016 - Mar 2016,148681,6.64
2834,Boku no Tonari ni Ankoku Hakaishin ga Imasu.,12,Jan 2020 - Mar 2020,58881,6.64
2835,Chiisana Viking Vickie,78,Apr 1974 - Sep 1975,3769,6.64
2836,DNA²,12,Oct 1994 - Dec 1994,43737,6.64
2837,Gad Guard,26,Apr 2003 - Sep 2003,14130,6.64
2838,Hina Logi: From Luck & Logic,12,Jul 2017 - Sep 2017,29424,6.64
2839,Sore Ike! Anpanman,,Oct 1988 -,3832,6.64
2840,Tokyo Tribe 2,13,Nov 2006 - Feb 2007,11977,6.64
2841,Tsukiuta. The Animation 2,13,Oct 2020 - Dec 2020,7713,6.64
2842,Uchuu Koukyoushi Maetel: Ginga Tetsudou 999 Gaiden,13,Aug 2004 - Oct 2004,4782,6.64
2843,Kaiketsu Jouki Tanteidan,26,Oct 1998 - Mar 1999,4973,6.64
2844,Mahou Shoujo Ore,12,Apr 2018 - Jun 2018,83252,6.64
2845,Nobunaga the Fool,24,Jan 2014 - Jun 2014,98809,6.64
2846,Oyayubi Hime Monogatari,26,Sep 1992 - Mar 1993,2014,6.64
2847,Psychic Hero,24,2009 - 2009,378,6.64
2848,Sengoku Majin Goushougun,26,Jul 1981 - Dec 1981,3222,6.64
2849,Sensei no Ojikan: Dokidoki School Hours,13,Apr 2004 - Jun 2004,8576,6.64
2850,Shinkon Gattai Godannar!!,13,Oct 2003 - Dec 2003,19822,6.64
2851,Kashimashi: Girl Meets Girl,12,Jan 2006 - Mar 2006,50444,6.63
2852,Mamotte Shugogetten!,22,Oct 1998 - Apr 1999,8899,6.63
2853,Megumi no Daigo: Kyuukoku no Orange,24,Sep 2023 -,23130,6.63
2854,Miyuki,37,Mar 1983 - Apr 1984,4323,6.63
2855,Morita-san wa Mukuchi. 2,13,Oct 2011 - Dec 2011,13440,6.63
2856,Ninja Hattori-kun (2012),52,May 2012 - Feb 2015,2942,6.63
2857,Perman (1983),526,Apr 1983 - Jul 1985,3985,6.63
2858,Plunderer,24,Jan 2020 - Jun 2020,421113,6.63
2859,Recorder to Randoseru Do♪,13,Jan 2012 - Mar 2012,54669,6.63
2860,Saiyuuki Reload: Zeroin,13,Jan 2022 - Mar 2022,12813,6.63
2861,Arashi no Yoru ni: Himitsu no Tomodachi,26,Apr 2012 - Sep 2012,2722,6.63
2862,Bannou Bunka Neko-Musume (1998),12,Jan 1998 - Mar 1998,8348,6.63
2863,Cardfight!! Vanguard: Shinemon-hen,31,Aug 2019 - Mar 2020,4448,6.63
2864,Chibi Godzilla no Gyakushuu,13,Apr 2023 - Jun 2023,696,6.63
2865,Chiikawa,,Apr 2022 -,3130,6.63
2866,Dondon Dommel to Ron,52,Apr 1988 - Mar 1989,1149,6.63
2867,Fireball,13,Apr 2008 - Jun 2008,10368,6.63
2868,Gasaraki,25,Oct 1998 - Mar 1999,22745,6.63
2869,Jungle Taitei,52,Oct 1965 - Sep 1966,8040,6.63
2870,Suki na Mono wa Suki Dakara Shou ga Nai!!,12,Jan 2005 - Mar 2005,49770,6.63
2871,Tanken Driland,37,Jul 2012 - Mar 2013,6522,6.63
2872,Urasekai Picnic,12,Jan 2021 - Mar 2021,119091,6.63
2873,Wakako-zake,12,Jul 2015 - Sep 2015,40853,6.63
2874,Yuusha ga Shinda!,12,Apr 2023 - Jun 2023,113244,6.63
2875,Telepathy Shoujo Ran,26,Jun 2008 - Dec 2008,9202,6.62
2876,Tokyo Mew Mew New ♡,12,Jul 2022 - Sep 2022,43094,6.62
2877,Wakaokami wa Shougakusei!,24,Apr 2018 - Sep 2018,7332,6.62
2878,Yakyuukyou no Uta,25,Dec 1977 - Mar 1979,1468,6.62
2879,Yamato Takeru,37,Apr 1994 - Dec 1994,2566,6.62
2880,Yumemiru Danshi wa Genjitsushugisha,12,Jul 2023 - Sep 2023,133159,6.62
2881,Yuusha Raideen,50,Apr 1975 - Mar 1976,3003,6.62
2882,Kenja no Mago,12,Apr 2019 - Jun 2019,578835,6.62
2883,Majin Bone,52,Apr 2014 - Mar 2015,9614,6.62
2884,Nekogami Yaoyorozu,12,Jul 2011 - Sep 2011,22579,6.62
2885,Nyanko Days,12,Jan 2017 - Mar 2017,72828,6.62
2886,Persona 4 the Golden Animation,12,Jul 2014 - Sep 2014,92070,6.62
2887,Renai Boukun,12,Apr 2017 - Jun 2017,364747,6.62
2888,Samurai Giants,46,Oct 1973 - Sep 1974,1506,6.62
2889,Seton Doubutsuki: Risu no Banner,26,Apr 1979 - Sep 1979,1780,6.62
2890,30-sai no Hoken Taiiku,12,Apr 2011 - Jun 2011,63725,6.62
2891,Bananya: Fushigi na Nakama-tachi,13,Oct 2019 - Dec 2019,15688,6.62
2892,Choujuushin Gravion Zwei,12,Jan 2004 - Mar 2004,9175,6.62
2893,Chousoku Spinner,22,Nov 1998 - Sep 1999,5747,6.62
2894,Cinderella Girls Gekijou 2nd Season,13,Oct 2017 - Dec 2017,9312,6.62
2895,Coyote Ragtime Show,12,Jul 2006 - Sep 2006,20796,6.62
2896,Dan Doh!!,26,Apr 2004 - Sep 2004,4317,6.62
2897,Dragon Crisis!,12,Jan 2011 - Mar 2011,171778,6.62
2898,Gilgamesh,26,Oct 2003 - Mar 2004,41334,6.62
2899,Ginyuu Mokushiroku Meine Liebe Wieder,13,Jan 2006 - Apr 2006,7633,6.62
2900,Gokuu no Daibouken,39,Jan 1967 - Sep 1967,1075,6.62
2901,Granblue Fantasy The Animation,13,Apr 2017 - Jun 2017,196266,6.62
2902,Ichigo 100%,12,Apr 2005 - Jun 2005,114780,6.62
2903,IS: Infinite Stratos,12,Jan 2011 - Apr 2011,633844,6.62
2904,Dagashi Kashi,12,Jan 2016 - Apr 2016,451983,6.61
2905,Fight Ippatsu! Juuden-chan!!,12,Jun 2009 - Sep 2009,35335,6.61
2906,Go-Q-Choji Ikkiman,32,Apr 1986 - Nov 1986,1078,6.61
2907,Happy☆Lesson (TV),13,Apr 2002 - Jun 2002,28307,6.61
2908,Kabuki-bu!,12,Apr 2017 - Jun 2017,20029,6.61
2909,Teekyuu 7,12,Jan 2016 - Mar 2016,16576,6.61
2910,Tenshi no 3P!,12,Jul 2017 - Sep 2017,64496,6.61
2911,Transformers: Choujin Master Force,43,Apr 1988 - Mar 1989,3485,6.61
2912,Umi Monogatari: Anata ga Ite Kureta Koto,12,Jun 2009 - Sep 2009,28722,6.61
2913,Youkai Watch,214,Jan 2014 - Mar 2018,31723,6.61
2914,Kasumin,26,Oct 2001 - Apr 2002,1316,6.61
2915,Mamotte! Lollipop,13,Jul 2006 - Sep 2006,25467,6.61
2916,Maze☆Bakunetsu Jikuu (TV),25,Apr 1997 - Sep 1997,7019,6.61
2917,Recorder to Randoseru Mi☆,12,Jul 2013 - Sep 2013,23450,6.61
2918,Seton Doubutsuki,45,Oct 1989 - Dec 1990,809,6.61
2919,Shinmai Renkinjutsushi no Tenpo Keiei,12,Oct 2022 - Dec 2022,64927,6.61
2920,Kamen no Ninja Akakage,23,Oct 1987 - Mar 1988,1092,6.6
2921,Kiss x Sis (TV),12,Apr 2010 - Jun 2010,571175,6.6
2922,Kitty's Paradise,16,Apr 1994 - Sep 1994,2559,6.6
2923,Kuromajo-san ga Tooru!!,60,Apr 2012 - Feb 2014,9523,6.6
2924,Mahou no Idol Pastel Yumi,25,Mar 1986 - Aug 1986,3333,6.6
2925,Mahoutsukai Sally 2,88,Oct 1989 - Dec 1990,1698,6.6
2926,Nanaka 6/17,12,Jan 2003 - Mar 2003,9525,6.6
2927,Neo Ranga,48,Apr 1998 - Sep 1999,14855,6.6
2928,Orient,12,Jan 2022 - Mar 2022,110406,6.6
2929,Ray The Animation,13,Apr 2006 - Jun 2006,14458,6.6
2930,Sasami: Mahou Shoujo Club,13,Apr 2006 - Jul 2006,8320,6.6
2931,Akuma no Riddle,12,Apr 2014 - Jun 2014,265905,6.6
2932,Bakegyamon,51,Apr 2006 - Mar 2007,3703,6.6
2933,Chao Zhi Neng Zu Qiu 2: Shijie Dasai Pian,52,Mar 2018 - Jun 2018,378,6.6
2934,Chou Kuse ni Narisou,39,Apr 1994 - Jan 1995,2372,6.6
2935,Devilman Lady,26,Oct 1998 - May 1999,25235,6.6
2936,Girls Bravo: Second Season,13,Jan 2005 - Apr 2005,91288,6.6
2937,Hataage! Kemono Michi,12,Oct 2019 - Dec 2019,196998,6.6
2938,Jigoku Shoujo: Yoi no Togi,6,Jul 2017 - Aug 2017,60455,6.6
2939,Skull Man,13,Apr 2007 - Jul 2007,32418,6.6
2940,Sounan desu ka?,12,Jul 2019 - Sep 2019,157294,6.6
2941,Strike Witches: 501 Butai Hasshin Shimasu!,12,Apr 2019 - Jun 2019,19456,6.6
2942,Teekyuu 8,12,Oct 2016 - Dec 2016,15098,6.6
2943,To Heart,13,Apr 1999 - Jun 1999,27419,6.6
2944,Star Ocean EX,26,Apr 2001 - Sep 2001,13143,6.59
2945,Tide-Line Blue,12,Jul 2005 - Sep 2005,7552,6.59
2946,Tokyo Underground,26,Apr 2002 - Sep 2002,29455,6.59
2947,Wellber no Monogatari: Sisters of Wellber,13,Apr 2007 - Jun 2007,9514,6.59
2948,Kinkyuu Hasshin Saver Kids,50,Feb 1991 - Feb 1992,940,6.59
2949,Kono Yo no Hate de Koi wo Utau Shoujo YU-NO,26,Apr 2019 - Oct 2019,156859,6.59
2950,Mars Red,13,Apr 2021 - Jun 2021,123879,6.59
2951,Nanatsu no Maken ga Shihai suru,15,Jul 2023 - Oct 2023,136689,6.59
2952,Nokemono-tachi no Yoru,13,Jan 2023 - Apr 2023,39581,6.59
